order,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type_1,bsmt_fin_sf_1,bsmt_fin_type_2,bsmt_fin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,sale_price,sale_price_norm,sale_price_z,gr_liv_area_norm,gr_liv_area_z,total_bsmt_sf_norm,total_bsmt_sf_z,lot_area_norm,lot_area_z,year_built_norm,year_built_z,overall_qual_norm,overall_qual_z,garage_area_norm,garage_area_z,log_sale_price
1402,905401045,20,RL,73.0,39104,Pave,None,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,1Story,7,7,1954,2005,Flat,Membran,Plywood,Plywood,None,0.0,4,4,CBlock,5,4,Gd,LwQ,226.0,GLQ,1063.0,96.0,1385.0,GasA,6,Y,SBrkr,1363,0,0,1363,1.0,0.0,1,0,2,1,4,5,Mod,2,4,Attchd,1954.0,Unf,2.0,439.0,4,4,Y,81,0,0,0,0,0,None,None,None,0,4,2008,WD ,Normal,241500,0.3081482220015602,0.759436604941496,0.248430709802028,-0.27025114267128497,0.4320024953212726,0.7982857736691827,0.17669961906097362,3.7254385321260286,0.5942028985507246,-0.5727500709715091,0.6666666666666666,0.6465120323018231,0.2950268817204301,-0.15397022137652366,12.394624752074764
1403,905401060,20,RL,80.5,53227,Pave,None,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0.0,4,4,CBlock,5,4,Gd,BLQ,1116.0,Unf,0.0,248.0,1364.0,GasA,6,Y,SBrkr,1663,0,0,1663,1.0,0.0,1,0,2,1,5,6,Min1,2,5,Attchd,1954.0,Fin,2.0,529.0,4,4,Y,224,137,0,0,0,0,None,None,None,0,3,2008,WD ,Normal,256000,0.3276844455282932,0.9408529245328341,0.3208594881699662,0.33951333172136,0.42545227698066124,0.7486245371943127,0.24271191193998456,5.540063415246279,0.5942028985507246,-0.5727500709715091,0.3333333333333333,-1.4869047868046443,0.35551075268817206,0.26643167971404047,12.4529327234617
1404,905402090,80,RL,124.0,11512,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,7,1959,2006,Gable,CompShg,Plywood,Plywood,BrkFace,84.0,4,4,CBlock,4,4,Av,ALQ,719.0,Unf,0.0,300.0,1019.0,GasA,5,Y,SBrkr,1357,0,0,1357,1.0,0.0,1,0,2,1,6,5,Typ,1,5,Basment,1959.0,RFn,1.0,312.0,4,4,Y,0,0,0,0,163,0,None,GdPrv,None,0,5,2008,WD ,Normal,177000,0.22124571045161012,-0.04755323048204279,0.24698213423466925,-0.2824464321591379,0.31784154709918905,-0.06723863346426731,0.04773189371100049,0.18021940197988814,0.6304347826086957,-0.40739790620185506,0.5555555555555556,-0.06462690740033272,0.20967741935483872,-0.747204015137653,12.083905011555967
1405,905403060,50,RL,50.0,5190,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,7,5,1948,1950,Gable,CompShg,BrkFace,Plywood,None,0.0,4,4,CBlock,4,4,No,Unf,0.0,Unf,0.0,570.0,570.0,GasA,4,Y,SBrkr,617,462,0,1079,0.0,0.0,1,0,2,1,4,5,Typ,1,5,Attchd,1948.0,Unf,1.0,249.0,4,4,Y,135,0,0,0,0,0,None,None,None,0,1,2008,WD ,Normal,125600,0.15199316636374294,-0.690642804757545,0.17986479961371318,-0.8474948450963222,0.17779164067373673,-1.12904316571268,0.018182243099862116,-0.6320767469322568,0.5507246376811594,-0.7711726686950939,0.6666666666666666,0.6465120323018231,0.16733870967741934,-1.041485345901048,11.740857533016236
1406,905403150,20,RL,85.0,10452,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,Stone,216.0,4,4,CBlock,4,4,Mn,Rec,500.0,Unf,0.0,594.0,1094.0,GasA,6,Y,SBrkr,1094,0,0,1094,0.0,0.0,1,0,3,1,4,5,Typ,2,5,Attchd,1953.0,RFn,2.0,495.0,4,4,Y,0,0,0,0,287,0,None,None,None,0,6,2008,WD ,Normal,155000,0.1916045437213946,-0.32280557744821103,0.1834862385321101,-0.81700662137669,0.34123518402994385,0.11012292537455443,0.042777349318750144,0.04402295815722543,0.5869565217391305,-0.6058205039254398,0.5555555555555556,-0.06462690740033272,0.3326612903225806,0.107613183746494,11.951180395901384
1407,905425125,50,RL,75.0,45600,Pave,None,IR2,Bnk,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,6,8,1908,1997,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,4,4,No,Unf,0.0,Unf,0.0,907.0,907.0,GasA,4,Y,SBrkr,1307,1051,0,2358,0.0,0.0,3,0,5,1,4,10,Typ,1,5,Detchd,1908.0,Unf,2.0,360.0,3,4,Y,486,40,0,0,175,0,None,None,None,0,9,2008,WD ,Normal,240000,0.30612723336086367,0.74066939946653,0.4886528247223563,1.7521343640643208,0.28290704928259514,-0.33209856133024107,0.20706256280819837,4.560091455778875,0.2608695652173913,-2.0939899868523257,0.5555555555555556,-0.06462690740033272,0.24193548387096775,-0.5229896678893522,12.388394202324129
1408,905426030,30,RL,85.0,19550,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,7,1940,2007,Flat,Tar&Grv,PreCast,PreCast,None,0.0,4,4,PConc,4,4,Gd,ALQ,1035.0,Unf,0.0,545.0,1580.0,GasA,6,Y,SBrkr,1518,0,0,1518,1.0,0.0,1,0,2,1,3,5,Typ,2,5,None,1940.0,None,0.0,0.0,1,1,Y,0,39,0,0,0,0,None,None,None,0,1,2008,WD ,Normal,260000,0.33307374857015054,0.9908988057994101,0.2858522452921294,0.04479383576491492,0.4928259513412352,1.2594258266501193,0.08530229731940452,1.2129996052313625,0.4927536231884058,-1.0357361323265404,0.4444444444444444,-0.7757658471024885,0.0,-2.2045972722516085,12.468436909997665
1409,905427050,50,RL,66.0,21780,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,7,1918,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,5,4,Mn,Unf,0.0,Unf,0.0,1163.0,1163.0,GasA,6,Y,SBrkr,1163,511,0,1674,0.0,0.0,2,0,4,1,4,8,Typ,1,5,Detchd,1955.0,Fin,2.0,396.0,4,4,N,72,36,0,0,144,0,None,None,None,0,7,2008,WD ,Normal,185000,0.23202431653532485,0.0525385320511093,0.3235152100434573,0.3618713624490903,0.3627573300062383,0.27329555950627044,0.09572553693706326,1.499526086103568,0.3333333333333333,-1.7632856573130178,0.5555555555555556,-0.06462690740033272,0.2661290322580645,-0.3548289074531265,12.128111104060462
1410,905427070,70,RL,120.0,13728,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,7,1935,1986,Hip,CompShg,Stucco,Stucco,None,0.0,4,4,CBlock,4,4,No,Rec,626.0,Unf,0.0,501.0,1127.0,GasA,6,Y,SBrkr,1236,872,0,2108,0.0,0.0,2,0,4,1,5,7,Typ,2,4,Basment,1935.0,Unf,2.0,540.0,4,4,Y,0,0,0,0,90,0,None,None,None,0,7,2008,WD ,Normal,235000,0.299390604558542,0.6781120478833099,0.4282955094157412,1.24399730207045,0.35152838427947597,0.188162011263636,0.05808969594989367,0.46494706189594526,0.45652173913043476,-1.2010882970961942,0.5555555555555556,-0.06462690740033272,0.3629032258064516,0.3178141342917761,12.367340793126296
1411,905451330,20,RL,68.0,9571,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,CBlock,4,4,Av,Rec,870.0,Unf,0.0,639.0,1509.0,GasA,4,Y,FuseA,1509,0,0,1509,1.0,0.0,1,0,3,1,5,6,Typ,1,4,Attchd,1956.0,Unf,1.0,322.0,4,4,Y,158,0,0,0,576,0,None,MnPrv,None,0,7,2008,WD ,Normal,159900,0.19820643994766987,-0.26149937289665537,0.28367938194109127,0.02650090153313557,0.47067997504678727,1.0915235509493681,0.038659468555002456,-0.06917427486896877,0.6086956521739131,-0.5066092050636475,0.4444444444444444,-0.7757658471024885,0.2163978494623656,-0.7004926927942571,11.982303898822046
1412,905452070,90,RL,50.0,9350,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,5,5,1975,1975,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,4,PConc,5,4,Av,GLQ,864.0,Unf,0.0,0.0,864.0,GasA,3,N,SBrkr,864,0,0,864,1.0,0.0,1,0,2,1,4,4,Typ,0,1,None,1975.0,None,0.0,0.0,1,1,Y,0,0,0,0,0,0,None,None,None,0,4,2008,WD ,Normal,99600,0.11696269659167002,-1.0159410329902894,0.12795750845002415,-1.284492718411051,0.2694946974422957,-0.4337858550644989,0.03762649279020309,-0.0975699485338824,0.7463768115942029,0.1217290210610377,0.4444444444444444,-0.7757658471024885,0.0,-2.2045972722516085,11.50891744357269
1413,905452120,60,RL,50.0,9360,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,8,1962,2001,Gable,CompShg,VinylSd,VinylSd,BrkCmn,216.0,5,4,CBlock,4,4,No,Rec,324.0,Unf,0.0,297.0,621.0,GasA,4,Y,SBrkr,621,648,0,1269,0.0,0.0,1,1,3,1,4,7,Typ,0,1,Detchd,1962.0,Unf,1.0,280.0,4,4,Y,0,236,0,0,0,0,None,GdWo,None,0,11,2008,WD ,Normal,134500,0.16398436563187557,-0.5792907189394133,0.2257363592467407,-0.4613106779809804,0.19369931378665003,-1.0084373057022813,0.03767323377503564,-0.09628507642234785,0.6521739130434783,-0.3081866073400627,0.5555555555555556,-0.06462690740033272,0.1881720430107527,-0.8966802466365202,11.809319478024031
1414,905476120,50,RL,50.0,8405,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,BrkTil,4,5,No,Rec,241.0,BLQ,391.0,229.0,861.0,GasA,6,Y,SBrkr,961,406,0,1367,1.0,0.0,1,0,4,1,4,7,Typ,0,1,Detchd,1978.0,Unf,1.0,384.0,4,4,Y,0,130,112,0,0,0,None,MnPrv,None,0,4,2008,WD ,Normal,119000,0.14310081634467828,-0.7732185088473955,0.24939642684693386,-0.26212094967938304,0.2685589519650655,-0.4408803174180518,0.03320946972352708,-0.21899036307389774,0.2028985507246377,-2.358553450483772,0.4444444444444444,-0.7757658471024885,0.25806451612903225,-0.41088249426520174,11.686878772093667
1415,905477050,190,RL,70.0,7000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,2Story,5,7,1910,1991,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,CBlock,5,4,Gd,GLQ,969.0,Unf,0.0,148.0,1117.0,GasA,4,Y,SBrkr,820,527,0,1347,1.0,0.0,1,0,3,1,4,5,Typ,0,1,None,1910.0,None,0.0,0.0,1,1,N,85,0,148,0,0,0,None,None,None,0,1,2008,WD ,Normal,107500,0.12760657009933832,-0.9171004174888016,0.24456784162240464,-0.3027719146388927,0.34840923268870866,0.16451380341845975,0.02664236135455374,-0.3995148947445025,0.2753623188405797,-2.0278491209444645,0.4444444444444444,-0.7757658471024885,0.0,-2.2045972722516085,11.585246126549855
1416,905479110,190,RL,68.0,10880,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1Story,5,5,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,4,CBlock,4,4,No,ALQ,1040.0,Unf,0.0,124.0,1164.0,GasW,4,N,SBrkr,1164,0,0,1164,1.0,0.0,1,0,3,1,4,5,Typ,0,1,Detchd,1950.0,Unf,1.0,240.0,4,4,Y,0,48,0,0,0,0,None,None,None,0,8,2008,ConLD,Normal,125000,0.15118477090746432,-0.6981496869475314,0.20038628681796233,-0.6747282440184061,0.363069245165315,0.27566038029078804,0.044777863469583304,0.09901548453090434,0.5652173913043478,-0.7050318027872323,0.4444444444444444,-0.7757658471024885,0.16129032258064516,-1.0835255360101044,11.736069016284437
1417,905480150,50,RL,60.0,9600,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,6,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,BrkTil,4,4,No,Unf,0.0,Unf,0.0,572.0,572.0,Grav,3,N,FuseF,572,524,0,1096,0.0,0.0,1,0,2,1,4,5,Typ,0,1,None,1924.0,None,0.0,0.0,1,1,N,0,8,128,0,0,0,None,None,None,0,4,2008,WD ,Normal,79000,0.08920778592610457,-1.273677321513156,0.18396909705456302,-0.812941524880739,0.1784154709918902,-1.1243135241436448,0.038795017411016854,-0.06544814574551856,0.37681159420289856,-1.564863059589433,0.5555555555555556,-0.06462690740033272,0.0,-2.2045972722516085,11.27720313144916
1418,905480240,50,RL,60.0,9084,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,CBlock,4,3,Mn,LwQ,236.0,Rec,380.0,0.0,616.0,GasA,4,N,SBrkr,616,495,0,1111,0.0,1.0,1,0,3,1,4,5,Typ,0,1,Detchd,1941.0,Unf,1.0,200.0,4,3,Y,48,0,0,0,0,0,None,None,None,0,3,2008,ConLw,Normal,95000,0.11076499809353405,-1.0734937964468518,0.1875905359729599,-0.7824533011611068,0.19213973799126638,-1.0202614096248694,0.03638318259365725,-0.13174754670070155,0.5,-1.0026656993726095,0.4444444444444444,-0.7757658471024885,0.13440860215053763,-1.2703708253836885,11.461632170582678
1419,906204150,60,RL,86.0,11839,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,Hip,CompShg,HdBoard,HdBoard,BrkFace,99.0,4,4,PConc,5,4,No,GLQ,1085.0,Unf,0.0,390.0,1475.0,GasA,6,Y,SBrkr,1532,797,0,2329,1.0,0.0,2,1,4,1,5,10,Typ,1,6,Attchd,1990.0,Unf,2.0,514.0,4,4,Y,192,121,0,0,0,0,None,None,None,0,5,2008,WD ,Normal,262280,0.33614565130400925,1.0194249581213586,0.481651376146789,1.6931904648730318,0.4600748596381784,1.0111196442757688,0.04926032391502489,0.22223472002706804,0.855072463768116,0.6177855153699997,0.6666666666666666,0.6465120323018231,0.34543010752688175,0.19636469619894645,12.477167914377556
1420,906204280,60,RL,67.0,9771,Pave,None,IR3,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1995,2002,Gable,CompShg,HdBoard,HdBoard,BrkFace,190.0,5,4,PConc,5,4,No,LwQ,779.0,Unf,0.0,298.0,1077.0,GasA,6,Y,SBrkr,1093,1721,0,2814,0.0,1.0,2,1,4,1,5,9,Typ,1,4,BuiltIn,1995.0,Fin,2.0,614.0,4,4,Y,48,32,0,0,216,0,None,GdPrv,None,0,6,2008,WD ,Normal,260000,0.33307374857015054,0.9908988057994101,0.5987445678416224,2.6789763651411413,0.3359326263256394,0.06992097203775484,0.03959428825165346,-0.04347683263827769,0.8913043478260869,0.7831376801396537,0.5555555555555556,-0.06462690740033272,0.41263440860215056,0.6634779196329066,12.468436909997665
1421,906223110,20,RL,80.0,9938,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,1994,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,251.0,5,4,PConc,5,4,No,GLQ,1271.0,Unf,0.0,331.0,1602.0,GasA,6,Y,SBrkr,1626,0,0,1626,1.0,0.0,2,1,3,1,5,7,Typ,1,4,Attchd,1994.0,RFn,2.0,534.0,4,4,Y,424,40,0,0,0,0,None,None,None,0,4,2008,WD ,Normal,226500,0.2879383355945951,0.5717645501918358,0.3119266055045872,0.26430904654626713,0.49968808484092325,1.311451883909507,0.04037486269835706,-0.022019468375650636,0.8840579710144928,0.7500672471857228,0.6666666666666666,0.6465120323018231,0.3588709677419355,0.2897873408857385,12.330500223905226
1422,906223140,60,RL,67.0,14171,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,4,PConc,5,4,No,GLQ,355.0,Unf,0.0,457.0,812.0,GasA,6,Y,SBrkr,1101,1099,0,2200,0.0,0.0,2,1,4,1,5,9,Typ,1,4,Attchd,1993.0,RFn,2.0,453.0,4,4,Y,168,98,0,0,0,0,None,None,None,0,12,2008,WD ,Normal,225000,0.28591734695389853,0.5529973447168698,0.4505070014485756,1.4309917408841946,0.25327510917030566,-0.5567565358594153,0.06016032157797565,0.521866896436926,0.8768115942028986,0.7169968142317921,0.6666666666666666,0.6465120323018231,0.30443548387096775,-0.08857437009576925,12.323855681186558
1423,906223220,80,RL,85.0,10541,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,4,PConc,5,4,Av,Unf,0.0,Unf,0.0,672.0,672.0,GasA,6,Y,SBrkr,1302,735,0,2037,0.0,0.0,2,1,3,1,5,8,Typ,1,4,Attchd,1996.0,Fin,2.0,472.0,4,4,Y,100,33,0,0,0,0,None,None,None,0,2,2008,WD ,Normal,229000,0.29130664999575595,0.6030432259834458,0.4111540318686625,1.0996863764641907,0.2096069868995633,-0.8878314456918825,0.04319334408375985,0.055458319949882956,0.8985507246376812,0.8162081130935844,0.6666666666666666,0.6465120323018231,0.3172043010752688,0.00017714235668317955,12.341477282536376
1424,906378190,60,RL,65.0,10616,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,4,PConc,5,4,No,Unf,0.0,Unf,0.0,628.0,628.0,GasA,6,Y,SBrkr,628,728,0,1356,0.0,0.0,2,1,3,1,5,6,Typ,1,5,BuiltIn,2007.0,Fin,2.0,484.0,4,4,Y,100,24,0,0,0,0,None,None,None,0,3,2008,New,Partial,177439,0.22183718646045397,-0.04206069501303607,0.24674070497344278,-0.28447898040711334,0.19588271990018716,-0.9918835602106579,0.043543901470003976,0.06509486078639211,0.9782608695652174,1.1799828755868234,0.6666666666666666,0.6465120323018231,0.32526881720430106,0.056230729168758396,12.086382166860469
1425,906380030,20,RL,65.0,9345,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,156.0,5,4,PConc,5,4,Av,Unf,0.0,Unf,0.0,1615.0,1615.0,GasA,6,Y,SBrkr,1615,0,0,1615,0.0,0.0,2,0,3,1,5,7,Typ,1,5,Attchd,2007.0,RFn,3.0,864.0,4,4,Y,168,30,0,0,0,0,None,None,None,0,5,2008,WD ,Normal,248500,0.3175795023248106,0.8470168971580041,0.3092708836310961,0.24195101581853679,0.5037429819089208,1.342194554108236,0.03760312229778681,-0.09821238458964968,0.9782608695652174,1.1799828755868234,0.7777777777777778,1.3576509720039789,0.5806451612903226,1.8312609782178069,12.423198124518821
1426,906412010,20,RL,91.0,11778,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,554.0,5,4,PConc,5,4,Gd,GLQ,2085.0,Unf,0.0,186.0,2271.0,GasA,6,Y,SBrkr,2276,0,0,2276,1.0,0.0,2,0,3,1,6,7,Typ,2,5,Attchd,2008.0,RFn,3.0,1348.0,5,4,Y,0,0,70,0,255,0,None,None,None,0,6,2008,WD ,Abnorml,475000,0.6227487870699842,3.6808649238778726,0.4688556253017866,1.5854654077303312,0.7083593262632564,2.893516988751797,0.04897520390754633,0.21439700014670726,0.9855072463768116,1.213053308540754,0.8888888888888888,2.068789911706135,0.9059139784946236,4.092088979638174,13.071070083016778
1427,906412050,20,RL,91.0,11778,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,PosN,Norm,1Fam,1Story,9,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,402.0,6,4,PConc,6,4,Av,GLQ,1153.0,Unf,0.0,598.0,1751.0,GasA,6,Y,SBrkr,1766,0,0,1766,1.0,0.0,2,1,3,1,6,8,Typ,2,5,Attchd,2008.0,Fin,3.0,874.0,4,4,Y,216,36,0,0,0,0,None,None,None,0,12,2008,New,Partial,395039,0.5150152719374949,2.680435245888701,0.34572670207629164,0.5488658012628348,0.5461634435433562,1.6638101808026329,0.04897520390754633,0.21439700014670726,0.9855072463768116,1.213053308540754,0.8888888888888888,2.068789911706135,0.5873655913978495,1.877972300561203,12.886739773186576
1428,906420130,60,RL,59.0,11228,Pave,None,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,4,PConc,5,4,No,BLQ,50.0,GLQ,531.0,499.0,1080.0,GasA,6,Y,SBrkr,1080,1017,0,2097,0.0,1.0,2,1,3,1,5,9,Typ,1,4,Attchd,1993.0,Unf,3.0,678.0,4,4,Y,196,187,0,0,0,0,None,None,None,0,12,2008,WD ,Normal,228000,0.2899593242352916,0.5905317556668018,0.4256397875422501,1.2216392713427198,0.3368683718028696,0.0770154343913077,0.04640444974175606,0.1437290340123068,0.8768115942028986,0.7169968142317921,0.6666666666666666,0.6465120323018231,0.45564516129032256,0.9624303826306411,12.337100907936577
1429,906424010,80,RL,67.0,11454,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,SLvl,8,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,302.0,5,4,PConc,5,4,Gd,GLQ,770.0,Unf,0.0,631.0,1401.0,GasA,6,Y,SBrkr,1511,0,0,1511,1.0,0.0,2,0,3,1,5,6,Typ,1,3,Attchd,1995.0,Fin,3.0,811.0,4,4,Y,168,42,0,0,0,0,None,None,None,0,2,2008,WD ,Normal,225000,0.28591734695389853,0.5529973447168698,0.28416224046354416,0.03056599802908654,0.4369931378665003,0.8361229062214648,0.0474607959989717,0.1727671437329877,0.8913043478260869,0.7831376801396537,0.7777777777777778,1.3576509720039789,0.5450268817204301,1.583690969797808,12.323855681186558
1430,906475100,20,RL,80.5,11500,Pave,None,IR1,Bnk,AllPub,CulDSac,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,6,1966,1966,Flat,Tar&Grv,Plywood,Plywood,None,0.0,4,4,CBlock,5,5,Gd,LwQ,262.0,ALQ,723.0,197.0,1182.0,GasA,6,Y,SBrkr,1643,0,0,1643,1.0,0.0,2,0,2,1,4,6,Typ,1,5,Attchd,1966.0,Unf,2.0,438.0,4,4,Y,339,0,0,0,0,0,None,None,None,0,3,2008,WD ,Normal,195000,0.24549757413996828,0.17765323521754942,0.316030902945437,0.2988623667618503,0.3686837180286962,0.31822715441210525,0.04767580452920143,0.17867755544604666,0.6811594202898551,-0.1759048755243395,0.5555555555555556,-0.06462690740033272,0.29435483870967744,-0.15864135361086326,12.180754837545884
1431,906476030,60,RL,79.0,12798,Pave,None,IR1,HLS,AllPub,Inside,Mod,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,5,4,Gd,GLQ,462.0,Unf,0.0,154.0,616.0,GasA,5,Y,SBrkr,616,1072,0,1688,1.0,0.0,2,1,4,1,5,8,Typ,0,1,Attchd,1997.0,RFn,2.0,603.0,4,4,Y,403,114,185,0,0,0,None,None,Shed,400,5,2008,WD ,Normal,200000,0.25223420294229,0.24021058680076948,0.32689521970062774,0.3903270379207471,0.19213973799126638,-1.0202614096248694,0.05374278436046648,0.34545395552323177,0.9057971014492754,0.8492785460475153,0.5555555555555556,-0.06462690740033272,0.40524193548387094,0.612095465055171,12.206072645530174
1432,907126030,20,RL,65.0,9750,Pave,None,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,5,4,No,GLQ,722.0,Unf,0.0,268.0,990.0,GasA,6,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,4,5,Typ,0,1,Detchd,1997.0,Unf,2.0,528.0,4,4,Y,168,0,0,0,0,0,None,None,None,0,8,2008,WD ,Normal,155000,0.1916045437213946,-0.32280557744821103,0.15837759536455817,-1.0283916391661403,0.3087960074859638,-0.13581843621527837,0.0394961321835051,-0.04617506407250025,0.8840579710144928,0.7500672471857228,0.4444444444444444,-0.7757658471024885,0.3548387096774194,0.26176054747970084,11.951180395901384
1433,907135020,20,RL,75.0,9525,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1995,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,4,PConc,5,4,No,Unf,0.0,Unf,0.0,1099.0,1099.0,GasA,6,Y,SBrkr,1099,0,0,1099,0.0,0.0,1,1,3,1,5,6,Typ,0,1,Attchd,1999.0,Unf,1.0,352.0,4,4,Y,278,0,0,0,0,0,None,None,None,0,6,2008,WD ,Normal,144000,0.17678396035628682,-0.4604317509312952,0.1846933848382424,-0.8068438801368125,0.34279475982532753,0.12194702929714255,0.038444460024772725,-0.07508468658202772,0.8913043478260869,0.7831376801396537,0.4444444444444444,-0.7757658471024885,0.23655913978494625,-0.560358725764069,11.877568578558138
